id,sku,short_description,Tên SP,price,Quantity_sold,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,rating_avg,brand_name,Date
110791834,6706874410555,NORTH BAYOUđược thành lập vào năm 2006. Chuyên sản xuất các thiết bị ngoại vi áp dụng khoa học công nghệ và công thái học giúp di trì khả năng làm việc lâu dài hiệu quả.Giá treo màn hình máy tính F80...,Giá Treo Màn Hình Máy Tính North Bayou F80 Lắp Cho Màn Hình LCD 17 inch - 30 inch Hàng Nhập Khẩu,291700,,291700,,0,0,0,,available,,0.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-11-17
54763799,1469531001006,"Tiết Kiệm Điện NăngDigital InverterTiết kiệm điện năng sử dụng nhờ công nghệ Digital Inverter tiên tiến. Máy hoạt động ổn định,và duy trì tốt nhiệt độ mong muốn mà không cần bật tắt thường xuyên....",Máy lạnh Inverter Samsung AR09TYHQASINSV (1.0HP) - Hàng chính hãng - Chỉ giao tại HCM,5689000,1462.0,8990000,,3301000,37,434,,available,,4.7,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
47088265,3484820674196,"Ấn tượng xanh đầu tiên của chiếc máy lạnh treo tường 1.5hp nhập khẩu Thái Lan này là nó có máy nén công nghệ J tech Inverter. Hoạt động với sự kiểm soát, điều tiết của biến tần, cho phép nó sử dụng n...",Máy Lạnh Sharp 1.5Hp Inverter AH-X12XEW - HÀNG CHÍNH HÃNG,7549000,159.0,9990000,,2441000,24,50,,available,,4.5,"{'id': 19912, 'name': 'Sharp', 'slug': 'sharp'}",2022-11-17
196827627,3088517136710,"Thiết kế đẹp mắt, âm thanh chất lượngTivi Xiaomi A2 43 inch có tính năng và giao diện ấn tượng, màu sắc phù hợp với mọi không gian phòng khác nhau. TV còn tích hợp nhiều ứng dụng khác nhau để giúp ng...",Android Tivi Xiaomi Full HD 43 inch A2 L43M7-ETH - Model 2022,5559900,41.0,6900000,,1340100,19,12,,available,,4.7,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-11-17
53639849,1348854660926,"Ngăn chặn mùi hôi khó chịu với bộ lọc than hoạt tính DeodorizerBộ lọc than hoạt tính Deodorizer trên tủ lạnh Samsung Inverter 208 lít RT20HAR8DBU/SV giúp loại bỏ hoàn toàn những mùi hôi khó chiu, các...",Tủ Lạnh Inverter Samsung RT20HAR8DBU/SV (208L) - Hàng Chính Hãng - Chỉ Giao tại Hà Nội,5440000,40.0,5440000,,0,0,4,,available,,5.0,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
10003165,9379006525321,"Máy Rửa Chén Electrolux ESF6010BW công suất 9 bộ, thiết kế nhỏ gọn, tích hợp công suất mạnh mẽ cùng 5 chương trình rửa tự động thông minh, khoang rửa được thiết kế rộng, cho phép rửa thật nhiều chén đ...",Máy Rửa Bát Electrolux ESF6010BW - Hàng chính hãng ,7450000,1496.0,9990000,,2540000,25,411,,available,,4.3,"{'id': 19050, 'name': 'Electrolux', 'slug': 'electrolux'}",2022-11-17
178058672,4291881008018,Cảm giác thật với màu sắc và độ tương phản đẹpGoogle Tivi Sony 4K 65 inch KD-65X75K với bộ xử lý mạnh mẽ của chúng tôi trên TV Sony BRAVIA 4K này sử dụng các thuật toán nâng cao để giảm nhiễu và tăn...,Google Tivi Sony 4K 65 inch KD-65X75K - Model 2022,15489900,68.0,23900000,,8410100,35,20,,available,,5.0,"{'id': 18641, 'name': 'Sony', 'slug': 'sony'}",2022-11-17
4374799,4857976528665,"GIÁ TREO GÓC LCD, LED, PLASMA P4 là sản phẩm của nhà sản xuất North Bayou. Được sản xuất trên dây chuyền công nghệ cao, đạt tiêu chuẩn kĩ thuật thế giới và được phép xuất khẩu sang các nước Châu Âu. P...",Giá Treo Tivi Góc Xoay Nhập Khẩu North Bayou P4 (32-55inch) ,499000,39.0,535000,,36000,7,4,,available,,5.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-11-17
55596971,5856743288053,"có loa siêu trầm tích hợp 6.5 inch, Công nghệ Smart Sound tối ưu âm thanh theo từng cảnh, Tối ưu âm thanh chơi game với chế độ Game Mode.Trọn Vẹn Từng Âm Sắc - Âm Trầm Mạnh MẽVới loa thanh Samsung 2...",Loa Thanh Samsung 2.1ch 150W HW-T420/XV - Hàng Chính Hãng,1380000,953.0,1670000,,290000,17,423,,available,,4.6,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
845744,1034538584526,"Thiết kế hiện đại, sang trọng Tủ Lạnh Inverter Samsung RT19M300BGS/SV (208L)  có thiết kế tinh tế, sáng tạo, tạo cho không gian nhà bạn thêm hiện đại. Tủ lạnh có dung tích 208 lít, phù hợp với gia đì...",Tủ lạnh Samsung Inverter 208 lít RT19M300BGS/SV,4830000,2.0,4830000,,0,0,0,,available,,0.0,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
192377628,6732490243504,...,[Sản phẩm mới nhất 2022] GOOGLE Tivi 43'' 4K HDR -43T66 - Gam Màu Rộng  Dolby Audio - Tivi Giá Rẻ Chất Lượng -Hàng chính hãng,7272000,16.0,10490000,,3218000,31,6,,available,,5.0,"{'id': 27932, 'name': 'TCL', 'slug': 'tcl'}",2022-11-17
548549,1025376924896,"Thiết kế mang phong cách ItaliaĐược tạo nên bởi nhà thiết kế nổi tiếng người Ý - Umberto Palermo, Máy Nước Nóng Ariston SB35E-VN (3500W) mang đậm phong cách thời thượng với kiểu dáng vuông vức toát l...",Máy Nước Nóng Ariston SB35E-VN (3500W),1590000,3449.0,2850000,,1260000,44,623,,available,,4.3,"{'id': 47795, 'name': 'Ariston', 'slug': 'ariston'}",2022-11-17
197546361,6121407253155,Bass loa 4 tấc từ 140 côn 51 Hải Triều (hàng chính hãng) 1 cặp Loa bass 40 dùng cho thay thế loa bass đã cũ hoặc đã xuống cấp cần được thay thế mớiCông suất 900wTrở kháng: 8ohmPhù hợp cho mọi thùng l...,Bass loa 4 tấc từ 140 côn 51 Hải Triều (hàng chính hãng) 1 cặp ,760000,23.0,836000,,76000,9,3,,available,,5.0,"{'id': 550159, 'name': 'HẢI TRIỀU ', 'slug': 'hai-trieu'}",2022-11-17
23973713,5012562818660,Giới thiệu sản phẩm:LTP Việt Nam là đơn vị chuyên cung cấp các sản phẩm Đầu thu kỹ thuật số mang thương hiệu Việt. Đầu thu kỹ thuật số DVB T2 LTP STB-1306 là 1 trong những sản phẩm chất lượng cao do ...,Đầu thu kỹ thuật số DVB T2 LTP STB-1306  hàng chính hãng  tặng Anten DVB T2,329000,3.0,329000,,0,0,1,,available,,3.0,"{'id': 247713, 'name': 'LTP', 'slug': 'ltp'}",2022-11-17
196827628,6693373734336,"Thiết kế tinh tế, loa âm thanh sống độngTivi Xiaomi A2 32 inch sở hữu ngoại hình hiện đại, tinh tế và viền màn hình siêu mỏng. Đây là một trong những chiếc Tivi sáng giá của nhà Xiaomi, bởi trang bị ...",Android Tivi Xiaomi HD 32 inch A2 L32M7-EAVN - Model 2022,3639900,49.0,4900000,,1260100,26,15,,available,,4.7,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-11-17
12441864,3217900630009,"Xoay 180 độ, thích hợp gần đài phát sóng và chung cư cao tầng.Thiết kế có thể treo tường, gắn ban công, để bàCó độ khuyếch đại cao chống nhiễu 5V DC.Độ dài dây: 2 mét.Tần số: 470-862MHzNguồn điện...",Anten tàu bay DVB T2 model TB105 KD 2 mét,189000,326.0,189000,,0,0,69,,available,,4.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-11-17
171616970,9737002159895,"Thiết kế đẹp mắt, độc đáo với đèn LED hiển thị nhiệt độĐiều Hòa Funiki 9000Btu HSC09TMU với đường nét sang trọng, kiểu dáng nhỏ gọn. Máy được trang bị đèn LED hiển thị nhiệt độ sắc nét giúp dễ dàng s...",Điều Hòa Funiki 9000Btu HSC09TMU - Chỉ giao Hà Nội,4639000,28.0,4639000,,0,0,0,,available,,0.0,"{'id': 110936, 'name': 'Funiki', 'slug': 'funiki'}",2022-11-17
123548101,9348455194253,Giá Treo Hai Màn Hình NB-H180 22-32 Inch - Tay Treo Màn Hình Kép Xếp Màn Trên Dưới✪ Đặc điểm nổi bật của tay hai treo màn hình máy tính NB-H180 new 2021Dùng với nhiều loại màn hình khác nhau <32 ...,Giá Treo Máy Tính Hai Màn Hình NB H180 22-32 Inch -Hàng Chính hãng ,578900,,578900,,0,0,0,,available,,0.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-11-17
73681047,5672481251025,"Thiết kế hiện đại, chắc chắnSmart Tivi Casper HD 32 inch 32HX6200 sở hữu độ phân giải HD đem lại hình ảnh có độ nét cao tối ưu với màn hình kích thước 32 inch, chân đế thiết kế hình chữ V vững chãi ở...",Smart Tivi Casper HD 32 inch 32HX6200,3749900,975.0,6990000,,3240100,46,420,,available,,4.6,"{'id': 48688, 'name': 'Casper', 'slug': 'casper'}",2022-11-17
16931128,9786083115091,"- Sản phẩm dùng chung cho cả quạt Mitsu đứng LV16 và quạt Mitsu treo tường W16 .- Với điều khiển quạt từ xa có thể dùng cho cả quạt cây và quạt treo tường cùng các chức năng: Bật/tắt, hẹn giờ, điều c...",Điều khiển dùng cho quạt đứng và quạt treo tường Mitsubishi,35200,,35200,,0,0,0,,available,,0.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-11-17
49989931,2624764440117,"TÍNH NĂNG NỔI BẬT:Tháo ráp, lắp rời dễ dàng, có hướng dẫn sử dụngKhung treo thẩm mỹ, chắc chắn, gọn gang, tiện lợi treo mọi nơiThiết kế thông minh, nhẹ nhàng, chịu lực tốt hơn các dòng thông thường...",Giá tivi treo tường 40-65 inch,81000,367.0,81000,,0,0,92,,available,,4.5,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-11-17
3218533,7133128922879,"TÚI VỆ SINH MÁY LẠNH TD01       Áo vệ sinh máy lạnh TD01 là mẫu thiết kế cải tiến nhất của nhà sản xuất Thuận Dung được thiết kế và sản xuất kể từ năm 2013, chuyên dùng cho thợ điện lạnh với độ bền ...","Túi vệ sinh máy lạnh TD01, Áo vệ sinh máy lạnh tại nhà",99000,1466.0,165000,,66000,40,250,,available,,4.6,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-11-17
78288496,3635977189362,...,"Smart TV TCL Android 8.0 40 inch Full HD .wifi - 40L61 - HDR Dolby, Chromecast, T-cast, AI+IN., Màn hình tràn viền",4995000,114.0,7490000,,2495000,33,19,,available,,5.0,"{'id': 27932, 'name': 'TCL', 'slug': 'tcl'}",2022-11-17
73811766,5135748572986,"Thiết kế dạng hình khối, chắc chắn với thiết kế dạng hình khối màu đen có các cạnh góc vuông tạo nên sự tinh tế, sang trọng cho căn phòng của bạn.Công suất 150 W mạnh mẽ với 2.1 kênh mang âm thanh ...",Loa thanh soundbar Samsung HW-T420 - Hàng chính hãng,1190000,,1190000,,0,0,0,,available,,0.0,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
194040788,4985967176001,"Máy nước nóng trực tiếp Ariston 4500W AURES PREMIUM+ 4.5P có vẻ ngoài thời thượng, gọn đẹp, làm nóng nước nhanh với công suất lớn 4500W, hỗ trợ công nghệ Residual Heat tự động giảm nhiệt dư, có bộ ổn ...",Bình đun nước nóng tức thời Ariston AURES PREMIUM+ 4.5P - Hàng chính hãng,3540000,26.0,4590000,,1050000,23,3,,available,,4.3,"{'id': 47795, 'name': 'Ariston', 'slug': 'ariston'}",2022-11-17
112055567,4483793207404,"Thông tin chi tiết:Loại sản phẩm: Remote điều khiển từ xa TiviThương hiệu TV tương thích: SONYDòng Ti vi tương thích: Smart TV, Tivi Thông Minh SONYTính năng nổi bật: Ra lệnh bằng giọng nóiVật ...","Remote Điều Khiển Giọng Nói Smart TV, Tivi Thông Minh Dành Cho SONY BRAVIA",265000,10.0,270000,,5000,2,0,,available,,0.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-11-17
93088617,6224626579167,"Trải Nghiệm Nội Dung 4K Hoàn Mỹ Trên Thế Hệ Smart TV MớiPurColor Tái Hiện Sắc Màu Cuộc Sống, Rực Rỡ Và Sống Động HơnSmart Tivi Samsung 4K 50 inch UA50AU7700 Mới 2021 - Choáng ngợp trước dải màu sắc...",Smart Tivi Samsung 4K 50 inch UA50AU7700,10729900,246.0,17900000,,7170100,40,88,,available,,4.7,"{'id': 18802, 'name': 'Samsung', 'slug': 'samsung'}",2022-11-17
